[Date: 02.12.2021 time: 21:34:19] | Succesfully started BankingLogger
[Date: 02.12.2021 time: 22:00:53] | Player: 76561198453458485 Deposited 34 on own account.
[Date: 02.12.2021 time: 23:26:38] | Player: 76561198325090115 withdrawed 800000 from own account.
[Date: 02.12.2021 time: 23:27:46] | Player: 76561199000819089 withdrawed 20000 from own account.
[Date: 02.12.2021 time: 23:35:42] | Player: 76561198325090115 Deposited 400000 on own account.
[Date: 02.12.2021 time: 23:46:49] | Player: 76561199000819089 Deposited 17050 on own account.
[Date: 03.12.2021 time: 00:01:40] | Player: 76561198325090115 Deposited 2480 on own account.
[Date: 03.12.2021 time: 00:02:33] | Player: 76561198325090115 Deposited 27743 on own account.
[Date: 03.12.2021 time: 00:03:03] | Player: 76561198325090115 Deposited 800 on own account.
