[Date: 01.12.2021 time: 02:01:17] | Succesfully started BankingLogger
[Date: 01.12.2021 time: 02:45:39] | Player: 76561198823624060 withdrawed 20000 from own account.
[Date: 01.12.2021 time: 02:50:45] | Player: 76561198823624060 withdrawed 10000 from own account.
[Date: 01.12.2021 time: 03:12:29] | Player: 76561198823624060 Deposited 2684 on own account.
[Date: 01.12.2021 time: 03:14:55] | Player: 76561198823624060 withdrawed 500 from own account.
[Date: 01.12.2021 time: 03:21:43] | Player: 76561198823624060 Deposited 392 on own account.
[Date: 01.12.2021 time: 03:42:27] | Player: 76561198823624060 withdrawed 5 from own account.
[Date: 01.12.2021 time: 03:47:23] | Player: 76561198453458485 Deposited 11810 on own account.
[Date: 01.12.2021 time: 04:07:20] | Player: 76561198823624060 Deposited 25000 on own account.
